"ResponseID","year2wt","PrgSrvc_IncrNum","PrgSrvc_DcrsNum","PrgSrvc_Suspend","PrgSrvc_IncrSrvc","PrgSrvc_DcrsSrvc","PrgSrvc_NewOffc","PrgSrvc_ClsdOffc","PrgSrvc_IncrArea","PrgSrvc_DcrsArea","PrgSrvc_IncrFee","PrgSrvc_DcrsFee","PrgSrvc_ShiftOnline","PrgSrvc_AddOnline","PrgSrvc_Oth","PplSrv_NumServed","PplSrv_NumWait","PplSrv_NumServed_NA_X","PplSrv_NumWait_NA_X","Dmnd_NxtYear","Staff_Fulltime_2021","Staff_Parttime_2021","Staff_Boardmmbr_2021","Staff_RegVlntr_2021","Staff_EpsdVltnr_2021","Staff_AmerVlntr_2021","Staff_PdCnslt_2021","Staff_Other_Est_2021","Staff_Fulltime_2022","Staff_Parttime_2022","Staff_Boardmmbr_2022","Staff_RegVlntr_2022","Staff_EpsdVltnr_2022","Staff_AmerVlntr_2022","Staff_PdCnslt_2022","Staff_Other_Est_2022","Staff_Fulltime_NA","Staff_Parttime_NA","Staff_Boardmmbr_NA","Staff_RegVlntr_NA","Staff_EpsdVltnr_NA","Staff_AmerVlntr_NA","Staff_PdCnslt_NA","Staff_Other_Text_NA","VolImportance","DonImportance","FndRaise_DvlpVirtual","FndRaise_IncrExp","FndRaise_DcrsExp","FndRaise_IncStaff","FndRaise_DcrsStaff","FndRaise_IncrCnslt","FndRaise_DcrsCnslt","FndRaise_IncrVolntr","FndRaise_DcrsVolntr","FndRaise_Othr","FndRaise_MajGift_Amt","FndRaise_Overall_Chng","FndRaise_Cashbelow250_Chng","FndRaise_Cashabove250_Chng","FndRaise_MajGift_Chng","FndRaise_Corp.Found_Grnt_Chng","FndRaise_RstrGift_Chng","FndRaise_UnrstrGift_Chng","FndRaise_DnrBlw250","FndRaise_DnrAbv250","FndRaise_LocGvtGrnt_Seek","FndRaise_StateGvtGrnt_Seek","FndRaise_FedGvtGrnt_Seek","FndRaise_LocGvtCntrct_Seek","FndRaise_StateGvtCntrct_Seek","FndRaise_FedGvtCntrct_Seek","FndRaise_PFGrnt_Seek","FndRaise_CFGrnt_Seek","FndRaise_DAF_Seek","FndRaise_Corp.Found_Grnt_Seek","FndRaise_UntdWy_Seek","FndRaise_CombFedCmpgn_Seek","FndRaise_OthrGvngPrgrm_Seek","FndRaise_LocGvtGrnt_Rcv","FndRaise_StateGvtGrnt_Rcv","FndRaise_FedGvtGrnt_Rcv","FndRaise_LocGvtCntrct_Rcv","FndRaise_StateGvtCntrct_Rcv","FndRaise_FedGvtCntrct_Rcv","FndRaise_PFGrnt_Rcv","FndRaise_CFGrnt_Rcv","FndRaise_DAF_Rcv","FndRaise_Corp.Found_Grnt_Rcv","FndRaise_UntdWy_Rcv","FndRaise_CombFedCmpgn_Rcv","FndRaise_OthrGvngPrgrm_Rcv","Finance_Rev_GovtMain","Finance_Rev_Prtcpnt","Finance_Rev_Govt3rdParty","Finance_Rev_IndvDon","Finance_Rev_Gift","Finance_Rev_Grnt","Finance_Rev_Spnsr","Finance_Rev_Oth","Reserves_Est","Reserves_NA_X","CARES_Rcv","CARES_Rcv_Est","FinanceChng_Reserves","FinanceChng_Borrow","FinanceChng_DcrsBnft","FinanceChng_IncrBnft","FinanceChng_IncrExp","FinanceChng_DcrsExp","FinanceChng_Oth","LeadershipChng_RetCEO","LeadershipChng_RsgnCEO","LeadershipChng_TrmnCEO","LeadershipChng_HireCEO","LeadershipChng_IntrmCEO","LeadershipChng_ChngBC","LeadershipChng_LostBoardMem","LeadershipChng_RplcBoardMem","LeadershipChng_AddBoardMem","LeadershipChng_Oth","CEOrace_AAPI","CEOrace_Black","CEOrace_Hisp","CEOrace_NativeAm","CEOrace_White","CEOrace_Oth","CEOgender_Man","CEOgender_Woman","CEOgender_Trans","CEOgender_NB","CEOgender_Oth","CEOgender_specify","BChairrace_AAPI","BChairrace_Black","BChairrace_Hisp","BChairrace_NativeAm","BChairrace_White","BChairrace_Oth","BChairgender_Man","BChairgender_Woman","BChairgender_Trans","BChairgender_NB","BChairgender_Oth","BChairgender_specify","ExtAffairs_GenEd","ExtAffairs_Media","ExtAffairs_Advocacy","ExtAffairs_GovtRs","ExtAffairs_DiscGovtGrnt","ExtAffairs_InfoReq","ExtAffairs_Testify","ExtAffairs_Lobby","ExtAffairs_OrgPrtst","ExtAffairs_Mobilize","ExtAffairs_Petition","ExtAffairs_VoteReg","ExtAffairs_VoteEd","CEOrace","CEOrace_Bi","BChairrace","BChairrace_Bi","CEOgender","BChairgender"
"R_OOnUBf5ia0KGViN",1.22,"Yes","No","No","No","No","No","No","Yes","No","","","Yes","Yes","",,,"Yes","Yes","Increase",1,1,15,0,26,0,0,,1,2,17,0,31,0,2,,"No","No","No","No","No","No","No","Yes","Somewhat Important","Not Used","","","","","","","","","","",,"","","","","","","",,,"Yes","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No",19673,0,0,0,9670,34270,9867,0,77393,"No","Yes",36890,"No","Yes","No","No","Yes","No","","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","","",,"","","","","","","","","","","","","Frequently","Never","Frequently","Rarely","Rarely","Occasionally","Never","Rarely","Never","Never","Never","Never","Never","","No","","No","",""
"R_24OTIqaPpPA58l9",1.39,"No","Yes","Yes","","","No","Yes","No","No","","","No","No","",,,"Yes","Yes","Increase",1,1,10,6,10,0,1,0,0,2,13,25,50,0,2,1,"No","No","No","No","No","No","No","No","Somewhat Important","Somewhat Important","Yes","","","No","No","No","","No","","",24993,"Decrease Moderately","Decrease Moderately","Decrease Moderately","Unchanged","Decrease Significantly","Decrease Moderately","Unchanged",154,13,"Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No",0,0,0,0,0,0,0,0,0,"Yes","Yes",,"Yes","Yes","No","No","No","No","","No","Yes","No","No","Yes","Yes","Yes","No","No","","No","No","No","No","Yes","No","No","Yes","No","No","No",,"No","No","No","No","Yes","No","No","Yes","No","No","No","","Frequently","Occasionally","Frequently","Occasionally","Occasionally","Rarely","Occasionally","Never","Rarely","Occasionally","Occasionally","Frequently","Frequently","White","No","White","No","Woman","Woman"
"R_WiYuhR8aVQQAFoJ",1.07,"Yes","No","No","Yes","No","No","No","Yes","No","No","No","Yes","Yes","No",159,,"No","No","Increase",24,17,54,1,8,,2,,27,17,48,3,7,,2,,"No","No","No","No","No","Yes","No","No","Very Important","Very Important","","","","","","","","","","",,"","","","","","","",0,0,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,,"No","",,"","","","","","","","No","No","No","No","No","No","Yes","Yes","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Frequently","","Rarely","Never","Occasionally","Never","Never","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
"R_XU1muP6la7JuN7b",1.04,"No","Yes","No","","","No","Yes","Yes","No","No","Yes","Yes","","No",,,"Yes","Yes","Decrease",1,0,3,,,,,,1,0,3,,,,,,"No","No","No","Yes","Yes","Yes","Yes","Yes","Not Used","Essential","Yes","No","No","No","No","No","No","No","No","",255,"Decrease Moderately","Decrease Significantly","Decrease Significantly","Decrease Significantly","Decrease Significantly","Decrease Significantly","Decrease Significantly",107,6,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",0,0,0,2137,9335,0,0,0,32669,"No","No",,"Yes","No","No","No","No","Yes","","","","","","","","No","No","No","","","","","","","","","","","","",,"","","","","","","","","","","","","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","","No","","No","",""
"R_21HhGVYDXr1MOo2",1.13,"No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No",,,"Yes","Yes","Unchanged",8,,20,2,,,4,,7,,19,2,,,4,,"No","Yes","No","No","Yes","Yes","No","No","Not Very Important","Not At All Important","Yes","No","Yes","No","No","No","Yes","No","No","",5106,"Decrease Moderately","Unchanged","Unchanged","Decrease Moderately","Unchanged","Not Applicable","Unchanged",21,9,"Yes","No","No","No","No","No","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","No","No","No",136788,534074,0,0,0,652855,77713,0,351079,"No","Yes",113264,"No","No","No","No","Yes","No","","No","No","No","No","No","No","Yes","Yes","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Most of the time","Frequently","Most of the time","Most of the time","Rarely","Occasionally","Frequently","Most of the time","Frequently","Frequently","Frequently","Rarely","Occasionally","White","No","White","No","Woman","Woman"
"R_9ysM3gTRC79GsE1",1.09,"Yes","No","Yes","Yes","No","No","Yes","No","No","","","No","No","No",29000,0,"No","No","Decrease",0,0,8,39,11,0,0,,0,0,8,38,11,0,0,,"No","No","No","No","No","No","No","Yes","Essential","Essential","No","No","No","No","No","No","No","No","No","",220,"Increase Significantly","Unchanged","Not Applicable","Increase Significantly","Increase Significantly","Increase Significantly","Increase Significantly",250,49,"Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No",37628,0,0,79335,2064,58705,0,0,280181,"No","Yes",0,"Yes","No","","","Yes","No","","No","No","No","No","No","No","No","No","No","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
"R_1LMNjbQgIugJOjy",0.67,"No","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No",300,3000,"No","No","Increase",22,,10,20,3,,,,17,,7,13,2,,,,"No","Yes","No","No","No","Yes","Yes","Yes","Somewhat Important","Very Important","Yes","No","No","No","No","No","No","No","No","",953,"Increase Moderately","Unchanged","Increase Moderately","Unchanged","Decrease Significantly","Decrease Moderately","Increase Moderately",120,34,"No","No","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No",0,0,0,0,0,0,0,0,,"Yes","Yes",17717,"Yes","No","No","No","No","No","","No","No","No","No","No","No","Yes","No","No","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Rarely","Never","Rarely","Never","Rarely","Occasionally","Never","Never","Never","Never","Rarely","Never","Never","White","No","White","No","Woman","Woman"
"R_byEXyRIRyiCPlnj",0.86,"Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","",40000,,"No","Yes","Increase",5,4,14,21,8,,1,,7,2,15,27,10,,2,,"No","No","No","No","No","Yes","No","Yes","Essential","Not Very Important","Yes","","","No","No","No","","","","",5116,"Unchanged","Decrease Moderately","Increase Moderately","Decrease Moderately","Increase Significantly","Unchanged","Increase Moderately",134,41,"No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No",196885,79557,0,0,723,6673,1432,0,519984,"No","Yes",160312,"No","No","No","No","No","Yes","","No","No","No","No","No","Yes","Yes","Yes","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","Yes","No","No","No","No","","Occasionally","Occasionally","Occasionally","Occasionally","Occasionally","Never","Never","Never","Never","Never","Occasionally","Occasionally","Rarely","White","No","White","No","Woman","Man"
"R_0CmRrda13YqugAp",1.13,"Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","",350,100,"No","No","Increase",10,2,15,3,,,3,,10,2,11,10,,,3,,"No","No","No","No","Yes","Yes","No","No","Somewhat Important","Very Important","No","No","No","No","No","No","No","Yes","No","",4739,"Increase Significantly","Increase Moderately","Increase Significantly","Increase Significantly","Unchanged","Unchanged","Increase Significantly",41,20,"Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No",1964963,0,0,193512,468,55565,,0,197464,"No","Yes",129139,"No","No","No","No","No","Yes","","No","No","No","No","No","No","Yes","No","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Occasionally","Never","Occasionally","Occasionally","Never","Never","Never","Never","Never","Never","Occasionally","Never","Never","White","No","White","No","Woman","Woman"
"R_3Enaf4SD2S8tjmm",1.07,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No",1000,0,"No","No","Increase",0,3,6,4,26,0,0,,0,4,7,5,24,0,0,,"No","No","No","No","No","No","No","No","Somewhat Important","Not Very Important","No","No","","No","No","No","","Yes","No","",495,"Increase Significantly","Unchanged","Decrease Moderately","Decrease Moderately","Decrease Moderately","Not Applicable","Increase Moderately",48,8,"No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",51085,0,0,2164,0,5335,0,981,147705,"No","No",,"No","No","No","No","No","No","","No","No","No","No","","No","No","No","No","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Never","Never","Occasionally","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
