"ResponseID","year2wt","PrgSrvc_IncrNum","PrgSrvc_DcrsNum","PrgSrvc_Suspend","PrgSrvc_IncrSrvc","PrgSrvc_DcrsSrvc","PrgSrvc_NewOffc","PrgSrvc_ClsdOffc","PrgSrvc_IncrArea","PrgSrvc_DcrsArea","PrgSrvc_IncrFee","PrgSrvc_DcrsFee","PrgSrvc_ShiftOnline","PrgSrvc_AddOnline","PrgSrvc_Oth","PplSrv_NumServed","PplSrv_NumWait","PplSrv_NumServed_NA_X","PplSrv_NumWait_NA_X","Dmnd_NxtYear","Staff_Fulltime_2021","Staff_Parttime_2021","Staff_Boardmmbr_2021","Staff_RegVlntr_2021","Staff_EpsdVltnr_2021","Staff_AmerVlntr_2021","Staff_PdCnslt_2021","Staff_Other_Est_2021","Staff_Fulltime_2022","Staff_Parttime_2022","Staff_Boardmmbr_2022","Staff_RegVlntr_2022","Staff_EpsdVltnr_2022","Staff_AmerVlntr_2022","Staff_PdCnslt_2022","Staff_Other_Est_2022","Staff_Fulltime_NA","Staff_Parttime_NA","Staff_Boardmmbr_NA","Staff_RegVlntr_NA","Staff_EpsdVltnr_NA","Staff_AmerVlntr_NA","Staff_PdCnslt_NA","Staff_Other_Text_NA","VolImportance","DonImportance","FndRaise_DvlpVirtual","FndRaise_IncrExp","FndRaise_DcrsExp","FndRaise_IncStaff","FndRaise_DcrsStaff","FndRaise_IncrCnslt","FndRaise_DcrsCnslt","FndRaise_IncrVolntr","FndRaise_DcrsVolntr","FndRaise_Othr","FndRaise_MajGift_Amt","FndRaise_Overall_Chng","FndRaise_Cashbelow250_Chng","FndRaise_Cashabove250_Chng","FndRaise_MajGift_Chng","FndRaise_Corp.Found_Grnt_Chng","FndRaise_RstrGift_Chng","FndRaise_UnrstrGift_Chng","FndRaise_DnrBlw250","FndRaise_DnrAbv250","FndRaise_LocGvtGrnt_Seek","FndRaise_StateGvtGrnt_Seek","FndRaise_FedGvtGrnt_Seek","FndRaise_LocGvtCntrct_Seek","FndRaise_StateGvtCntrct_Seek","FndRaise_FedGvtCntrct_Seek","FndRaise_PFGrnt_Seek","FndRaise_CFGrnt_Seek","FndRaise_DAF_Seek","FndRaise_Corp.Found_Grnt_Seek","FndRaise_UntdWy_Seek","FndRaise_CombFedCmpgn_Seek","FndRaise_OthrGvngPrgrm_Seek","FndRaise_LocGvtGrnt_Rcv","FndRaise_StateGvtGrnt_Rcv","FndRaise_FedGvtGrnt_Rcv","FndRaise_LocGvtCntrct_Rcv","FndRaise_StateGvtCntrct_Rcv","FndRaise_FedGvtCntrct_Rcv","FndRaise_PFGrnt_Rcv","FndRaise_CFGrnt_Rcv","FndRaise_DAF_Rcv","FndRaise_Corp.Found_Grnt_Rcv","FndRaise_UntdWy_Rcv","FndRaise_CombFedCmpgn_Rcv","FndRaise_OthrGvngPrgrm_Rcv","Finance_Rev_GovtMain","Finance_Rev_Prtcpnt","Finance_Rev_Govt3rdParty","Finance_Rev_IndvDon","Finance_Rev_Gift","Finance_Rev_Grnt","Finance_Rev_Spnsr","Finance_Rev_Oth","Reserves_Est","Reserves_NA_X","CARES_Rcv","CARES_Rcv_Est","FinanceChng_Reserves","FinanceChng_Borrow","FinanceChng_DcrsBnft","FinanceChng_IncrBnft","FinanceChng_IncrExp","FinanceChng_DcrsExp","FinanceChng_Oth","LeadershipChng_RetCEO","LeadershipChng_RsgnCEO","LeadershipChng_TrmnCEO","LeadershipChng_HireCEO","LeadershipChng_IntrmCEO","LeadershipChng_ChngBC","LeadershipChng_LostBoardMem","LeadershipChng_RplcBoardMem","LeadershipChng_AddBoardMem","LeadershipChng_Oth","CEOrace_AAPI","CEOrace_Black","CEOrace_Hisp","CEOrace_NativeAm","CEOrace_White","CEOrace_Oth","CEOgender_Man","CEOgender_Woman","CEOgender_Trans","CEOgender_NB","CEOgender_Oth","CEOgender_specify","BChairrace_AAPI","BChairrace_Black","BChairrace_Hisp","BChairrace_NativeAm","BChairrace_White","BChairrace_Oth","BChairgender_Man","BChairgender_Woman","BChairgender_Trans","BChairgender_NB","BChairgender_Oth","BChairgender_specify","ExtAffairs_GenEd","ExtAffairs_Media","ExtAffairs_Advocacy","ExtAffairs_GovtRs","ExtAffairs_DiscGovtGrnt","ExtAffairs_InfoReq","ExtAffairs_Testify","ExtAffairs_Lobby","ExtAffairs_OrgPrtst","ExtAffairs_Mobilize","ExtAffairs_Petition","ExtAffairs_VoteReg","ExtAffairs_VoteEd","CEOrace","CEOrace_Bi","BChairrace","BChairrace_Bi","CEOgender","BChairgender"
"R_1NgAWXuj2IO7kXx",0.7,"No","No","No","No","","No","No","No","No","No","No","Yes","Yes","No",,,"Yes","Yes","Increase",1,1,10,0,5,0,0,,1,1,10,0,5,0,0,,"No","No","No","No","No","No","No","No","Not Very Important","Very Important","No","No","No","No","No","No","No","No","No","",4922,"Decrease Moderately","Not Applicable","Decrease Significantly","Decrease Significantly","Decrease Moderately","Not Applicable","Increase Moderately",0,0,"Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes","No","Yes","No","No","No","No",147424,0,0,12556,0,39465,0,44656,,"Yes","Yes",134414,"No","No","No","No","No","Yes","","No","No","No","No","No","No","No","Yes","Yes","","","","","","","","","","","","",,"","","","","","","","","","","","","Occasionally","Never","Frequently","Frequently","Frequently","Frequently","Never","Occasionally","Never","Never","Never","Never","Never","","No","","No","",""
"R_1Oppmv49a0E8zJ5",1.44,"Yes","No","Yes","Yes","No","No","Yes","","","Yes","No","Yes","Yes","Yes",117,55,"No","No","Increase",3,2,5,5,19,0,0,,4,4,5,8,35,0,1,,"No","No","No","No","No","No","No","No","Somewhat Important","Very Important","Yes","No","Yes","Yes","No","No","","Yes","No","",1012,"Increase Significantly","Increase Moderately","Increase Significantly","Increase Significantly","Increase Significantly","Unchanged","Increase Significantly",72,52,"No","No","No","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","Yes","No","Yes","No","No","No",,118055,0,98237,9865,67516,104706,0,51130,"Yes","Yes",347720,"Yes","Yes","Yes","No","Yes","No","","No","No","No","No","No","No","Yes","No","No","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Frequently","Never","Most of the time","Occasionally","Never","Occasionally","Never","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
"R_XFhHUyJJwy4UBxL",0.9,"No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","Yes","Yes","",18133,,"No","Yes","Unchanged",2,2,8,,,,,,2,2,10,,,,,,"No","No","No","Yes","Yes","Yes","Yes","Yes","Very Important","Essential","No","No","Yes","No","No","No","No","Yes","No","",5122,"Decrease Moderately","Unchanged","Decrease Significantly","Decrease Significantly","Increase Moderately","Unchanged","Unchanged",24,32,"Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","No","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","No","No","No",,,,,,,,,,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","No","","No","",""
"R_3OlDDu418BChIv7",0.8,"Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No",11000,0,"No","No","Increase",2,2,9,177,102,0,1,,2,2,10,322,97,0,1,,"No","No","No","No","No","No","No","Yes","Very Important","Essential","Yes","No","Yes","No","No","No","","No","No","",246,"Unchanged","Increase Moderately","Decrease Moderately","Unsure","Unchanged","Not Applicable","Decrease Moderately",105,104,"Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes",0,0,0,0,0,0,0,0,94710,"No","Yes",34778,"No","No","No","No","No","Yes","","No","No","No","No","No","No","Yes","No","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Never","Never","Rarely","Rarely","Never","Never","Never","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
"R_81wymtEUueJgyc1",0.85,"No","No","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","No",,,"No","No","Increase",,5,6,,,,3,,1,4,,,,,4,,"No","No","No","No","No","No","No","No","Not Very Important","Very Important","Yes","No","No","No","No","Yes","No","No","No","",4777,"","","","","","","",0,0,"Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","No",0,0,0,0,0,0,0,0,,"No","Yes",,"Yes","","","","","","","","","","","","","","","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","","","","","","","","","","","","","","White","No","White","No","Woman","Woman"
"R_2yefycwQRN4Pmoq",0.94,"Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","",1500,500,"No","No","Increase",3,0,9,2,0,0,2,,3,9,10,2,23,0,2,,"No","No","No","No","No","No","No","No","Somewhat Important","Very Important","No","No","No","No","No","No","No","No","No","",255,"Increase Moderately","Increase Moderately","Increase Moderately","Unchanged","Decrease Moderately","Unchanged","Unchanged",147,29,"Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No",0,0,0,0,0,0,0,0,,"No","Yes",61036,"No","No","No","No","No","Yes","","No","No","No","No","No","No","No","No","No","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Never","Never","Never","Never","Never","Rarely","Never","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
"R_129k0I7bUcatJSL",1.08,"Yes","No","No","Yes","No","Yes","No","No","No","","","Yes","Yes","Yes",250,,"No","No","Unchanged",0,3,9,47,,,,,0,3,10,51,,,2,,"No","No","No","No","Yes","Yes","No","Yes","Essential","Essential","No","No","No","No","No","No","No","No","No","",46,"Increase Significantly","Unsure","Decrease Significantly","Increase Significantly","Unchanged","Not Applicable","Unchanged",25,10,"No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No",,,,,,,,,,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","No","","No","",""
"R_20SAt9qxiZsDApx",0.9,"Yes","No","No","Yes","No","No","No","","","No","No","No","Yes","No",75,600,"No","No","Unchanged",0,0,12,4,180,0,0,,0,0,12,6,262,0,0,,"No","No","No","No","No","No","No","No","Essential","Essential","Yes","Yes","No","No","No","No","No","","Yes","",1575,"Decrease Moderately","Increase Moderately","Increase Significantly","Increase Moderately","Not Applicable","Not Applicable","Decrease Moderately",156,168,"No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No",0,0,0,116358,100781,0,44225,0,96928,"No","No",,"No","No","No","No","Yes","","","No","No","No","No","No","No","Yes","Yes","No","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Never","Never","Never","Occasionally","Never","Never","Never","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
"R_3p5S36nmpmhAxXe",0.66,"Yes","No","No","Yes","No","Yes","Yes","Yes","No","","","Yes","No","Yes",449,25,"No","No","Increase",2,50,11,5,5,,1,,3,49,16,15,21,,1,,"No","No","No","No","No","Yes","No","No","Somewhat Important","Somewhat Important","Yes","No","Yes","No","No","No","No","Yes","No","",1017,"Decrease Significantly","","Decrease Significantly","Decrease Significantly","Decrease Significantly","Decrease Moderately","Decrease Significantly",35,9,"Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","No",994994,0,0,40043,124661,135238,0,0,47277,"No","Yes",184447,"Yes","No","No","No","Yes","No","","No","No","No","No","No","","Yes","Yes","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Rarely","Never","Never","Never","Never","Rarely","Never","Never","Never","Never","Occasionally","Never","Never","White","No","White","No","Woman","Woman"
"R_3oHNMS7ypkZhE8I",0.86,"Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No","","No",,,"Yes","Yes","Increase",2,1,8,2,13,0,2,,3,1,11,2,12,0,2,,"No","No","No","No","No","No","No","No","Not Very Important","Very Important","Yes","Yes","No","No","No","No","No","No","No","",1035,"Increase Significantly","Increase Significantly","Increase Significantly","Increase Significantly","Increase Significantly","Increase Significantly","Increase Significantly",301,54,"Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No",10,0,0,14,0,10,0,69,57105,"No","",,"No","No","No","No","Yes","No","","No","No","No","No","No","No","Yes","Yes","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Frequently","Occasionally","Frequently","Frequently","Never","Rarely","Never","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
"R_3O2iRaf8IXRVVPU",1.22,"No","Yes","Yes","No","Yes","No","No","No","","No","No","Yes","Yes","No",5000,,"No","Yes","Increase",3,1,14,3,2,,,,3,2,11,6,10,,,,"No","No","No","No","No","Yes","Yes","No","Somewhat Important","Very Important","Yes","No","No","No","No","No","No","No","No","",871,"Unchanged","Unchanged","Increase Moderately","Increase Moderately","Unchanged","Not Applicable","Increase Moderately",94,20,"No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No",,,,,,,,,76161,"Yes","Yes",85420,"Yes","No","","","No","Yes","","No","No","No","No","No","Yes","Yes","No","No","","","","","","","","","","","","",,"No","No","No","No","Yes","No","Yes","No","No","No","No","","Never","Never","Occasionally","Occasionally","Never","Never","Never","Rarely","Never","Never","Never","Never","Never","","No","White","No","","Man"
"R_2VPFsOLR8B4YzTt",0.89,"Yes","No","Yes","No","Yes","No","No","Yes","No","","","Yes","Yes","No",600,,"No","Yes","Increase",8,1,8,1,5,,,,8,1,6,1,15,,,,"No","No","No","No","No","Yes","Yes","Yes","Somewhat Important","Not Very Important","Yes","No","Yes","No","No","No","","No","No","",509,"Increase Significantly","Increase Significantly","Increase Significantly","Unchanged","Increase Significantly","Increase Moderately","Increase Significantly",46,10,"Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No",,,,,,,,,,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","No","","No","",""
"R_2wvOK1KNueP4ejp",0.99,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No",3500,100,"No","No","Increase",12,7,14,149,431,0,0,,15,5,15,265,631,1,0,,"No","No","No","No","No","No","No","No","Essential","Very Important","No","Yes","No","No","No","No","","Yes","No","",512,"Decrease Significantly","Decrease Significantly","Decrease Significantly","Decrease Significantly","Unchanged","Increase Significantly","Unchanged",204,52,"Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No",302748,1068,0,355240,191900,0,144329,0,148280,"No","Yes",192393,"No","Yes","No","No","Yes","No","","No","No","No","No","No","No","Yes","Yes","No","","","","","","","","","","","","",,"","","","","","","","","","","","","Occasionally","Never","Occasionally","Frequently","Frequently","Occasionally","Never","Never","Never","Never","Never","Never","Never","","No","","No","",""
"R_3n2vGFCwt2K4dLM",1.15,"No","Yes","Yes","No","Yes","No","No","No","","","","Yes","Yes","",56,95,"No","No","Increase",11,0,7,6,54,,,,13,4,6,26,107,,,,"No","No","No","No","No","Yes","Yes","Yes","Very Important","Somewhat Important","Yes","Yes","","No","","No","","Yes","","",947,"Increase Significantly","Increase Moderately","Increase Significantly","Increase Significantly","Increase Significantly","Increase Significantly","Increase Moderately",152,25,"No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No",0,0,0,102076,3232,26641,0,0,598908,"No","No",,"Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Rarely","Rarely","Rarely","Occasionally","Rarely","Frequently","Never","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
"R_3dMt8tm5kQSXnP6",1.22,"Yes","No","No","","No","No","No","","No","No","No","No","Yes","",,,"Yes","Yes","Increase",3,2,7,1,28,,0,2,3,,7,3,297,,1,10,"No","No","No","No","No","Yes","No","No","Very Important","Very Important","Yes","","No","No","No","No","No","No","No","",465,"Increase Moderately","Unchanged","Increase Moderately","Increase Significantly","Increase Significantly","Increase Significantly","Unchanged",97,99,"No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No",15533,0,0,68954,20462,184289,0,0,,"Yes","Yes",36039,"","No","No","No","","","","No","No","No","No","No","Yes","Yes","Yes","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","Yes","No","No","No","No","","Frequently","Frequently","Frequently","Frequently","Occasionally","Occasionally","Rarely","Occasionally","Frequently","Frequently","Frequently","Rarely","Rarely","White","No","White","No","Woman","Man"
"R_23oOXVMuXtnGJPP",1.07,"No","Yes","Yes","Yes","No","No","No","No","No","Yes","No","Yes","Yes","",60000,0,"No","No","Increase",6,40,11,38,39,0,0,,7,46,14,34,41,0,0,,"No","No","No","No","No","No","No","No","Somewhat Important","Somewhat Important","Yes","Yes","No","No","No","No","No","Yes","No","",966,"Decrease Moderately","Unchanged","Unchanged","Decrease Moderately","Unchanged","Unchanged","Unchanged",583,365,"No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No",195597,549580,0,414920,51376,598472,29598,884128,600688,"No","Yes",979076,"Yes","Yes","No","No","No","Yes","","No","No","No","No","No","No","Yes","No","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Never","Never","Never","Occasionally","Occasionally","Occasionally","Never","Rarely","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
"R_30dj6irjgI5HjIT",1.64,"Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No",339,35,"No","No","Increase",0,,14,36,55,,1,,0,1,19,41,51,,1,,"Yes","No","No","No","No","Yes","No","Yes","Essential","Essential","Yes","No","Yes","No","Yes","No","","Yes","No","",1016,"Increase Moderately","Increase Moderately","Not Applicable","Increase Significantly","Increase Moderately","Unchanged","Increase Moderately",200,73,"Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No",32939,0,0,162526,959677,87709,24848,0,250281,"No","Yes",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","No","","No","",""
"R_2U5BWdzMZ0QtN68",0.8,"No","No","No","Yes","No","No","No","No","No","","","No","No","No",,,"Yes","Yes","Unchanged",1,,15,,,,,,1,,15,,,,,,"No","Yes","No","Yes","Yes","Yes","Yes","Yes","Not Used","Not Very Important","No","No","No","No","No","No","No","No","No","",102,"Unchanged","Unchanged","Unchanged","Unchanged","Unchanged","Unchanged","Unchanged",15,0,"No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No",184591,0,0,0,0,0,0,0,236238,"No","No",,"No","No","No","No","No","No","","No","No","No","No","No","No","No","No","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Frequently","Frequently","Frequently","Frequently","Frequently","Frequently","Rarely","Never","Never","Never","Occasionally","Never","Never","White","No","White","No","Woman","Woman"
"R_2B8n9c8RBczWMJm",0.62,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No",65000,,"No","Yes","Increase",1,,14,19,4,,,,,1,13,18,6,,,,"No","No","No","No","No","Yes","Yes","Yes","Very Important","Not Very Important","Yes","No","No","No","No","No","No","No","No","",540,"Unchanged","Unchanged","Increase Moderately","Increase Moderately","Not Applicable","Not Applicable","Not Applicable",6,1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No",135625,0,0,0,5057,0,0,0,237722,"No","No",,"Yes","No","","","Yes","No","","","","","","","No","Yes","Yes","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Most of the time","Occasionally","Occasionally","Occasionally","Occasionally","Rarely","Never","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
"R_Us9owqif0TAcSpr",0.94,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","",120,30,"No","No","Increase",4,2,15,0,79,0,0,,4,2,16,0,89,0,1,,"No","No","No","No","No","No","No","No","Not Very Important","Essential","No","Yes","No","No","No","No","No","Yes","No","",994,"Unchanged","","Increase Moderately","Increase Moderately","Increase Moderately","Unsure","Unsure",149,452,"No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","No","No",0,0,0,0,0,0,0,0,,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","No","","No","",""
"R_1FQ93TN7Z5S28yS",1.05,"Yes","No","No","No","Yes","No","Yes","Yes","","","","No","No","No",60,15,"No","No","Increase",3,4,5,54,0,0,0,0,4,4,5,77,10,0,0,0,"No","No","No","No","No","No","No","No","Very Important","Very Important","No","","","No","No","No","","No","","",2482,"Unchanged","","Unchanged","Unchanged","Unchanged","Unchanged","Unchanged",372,216,"No","No","No","No","No","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","Yes","No",0,0,0,834789,0,89920,45365,0,6003230,"No","No",,"No","No","No","Yes","Yes","No","","No","No","No","No","No","No","Yes","No","","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Never","Occasionally","Rarely","Never","Never","Occasionally","Never","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
"R_5yFjLJsuT1UZuQV",1.09,"Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","Yes","No",1000,,"No","Yes","Unchanged",1,,6,29,51,,,,,3,,,,,,,"No","No","No","No","No","Yes","Yes","Yes","Very Important","Essential","Yes","Yes","No","No","No","No","No","No","No","No",46,"Increase Moderately","Increase Significantly","Unchanged","Unchanged","Not Applicable","Unchanged","Unchanged",41,56,"No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,"","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","","No","","No","",""
"R_1lithWU9kdUcdrz",1.4,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,,"Yes","No","Increase",0,0,8,4,2,0,1,,0,0,7,4,2,0,0,,"No","No","No","No","No","No","No","No","Essential","Essential","No","Yes","No","No","No","No","No","No","No","",979,"Unchanged","Unchanged","Unchanged","Unchanged","Unchanged","Unchanged","Unchanged",9,52,"No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",0,0,0,117154,0,0,0,0,7144,"No","No",,"No","No","No","No","No","No","","","","","","","No","Yes","No","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
"R_yW1XFJKSdKd5cFX",1.08,"Yes","No","No","No","Yes","Yes","No","Yes","No","","Yes","No","No","",1000,,"No","Yes","Unchanged",3,3,11,51,99,0,0,,,,,,,,,,"No","No","No","No","No","No","No","No","Very Important","Somewhat Important","No","No","Yes","No","No","No","","Yes","No","",107,"","","","","","","",0,0,"No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",0,0,0,9355,0,0,89769,0,,"No","No",,"Yes","No","","","No","Yes","","","","","","","No","No","No","No","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Occasionally","Occasionally","Occasionally","Rarely","Never","Never","Never","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
"R_OfF3voBNxH4l3mF",1.02,"No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","Yes",8500,,"No","Yes","Unchanged",9,1,11,20,49,,10,41,13,0,14,22,47,,10,39,"No","No","No","No","No","Yes","No","No","Not Very Important","Not At All Important","No","Yes","No","Yes","No","No","No","No","No","No",274,"Decrease Moderately","Decrease Moderately","Decrease Moderately","Decrease Moderately","Unchanged","Unchanged","Unchanged",10,2,"No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No",49,24,0,0,0,25,5,0,1183872,"No","Yes",287545,"No","No","No","No","Yes","No","","No","No","No","No","No","No","Yes","Yes","Yes","","No","No","No","No","Yes","No","No","Yes","","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Frequently","Occasionally","Frequently","Frequently","Occasionally","Occasionally","Frequently","Frequently","Never","Never","Occasionally","Rarely","Never","White","No","White","No","Woman","Woman"
"R_1pEa5RKKeLv2W60",1.4,"Yes","No","No","Yes","No","Yes","No","Yes","No","Yes","No","No","Yes","No",32,,"No","Yes","Increase",1,0,5,4,5,0,1,,3,0,7,16,14,0,1,,"No","No","No","No","No","No","No","No","Somewhat Important","Very Important","No","Yes","No","Yes","No","No","No","Yes","No","",998,"Decrease Significantly","Decrease Significantly","Decrease Significantly","Decrease Moderately","Not Applicable","Not Applicable","Not Applicable",19,5,"Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No",51054,0,77659,0,0,0,8881,0,193671,"No","Yes",,"Yes","No","No","Yes","Yes","No","","No","No","No","Yes","No","No","Yes","No","Yes","","No","No","No","No","Yes","No","No","Yes","No","No","No",,"No","No","No","No","Yes","No","No","Yes","","No","No","","Frequently","Rarely","Most of the time","Most of the time","Most of the time","Most of the time","Occasionally","Never","Never","Never","Never","Never","Never","White","No","White","No","Woman","Woman"
